sku,description,markets_missing,UK
GRENADA-20GB-30D,Grenada 20GB 30Days,0,Inactive
GRENADA-3GB-15D,Grenada 3GB 15Days,0,Inactive
GRENADA-5GB-30D,Grenada 5GB 30Days,0,Inactive
GUADELOUPE-20GB-30D,Guadeloupe 20GB 30Days,0,Inactive
GUADELOUPE-3GB-15D,Guadeloupe 3GB 15Days,0,Inactive
GUAM-20GB-30D,Guam 20GB 30Days,0,Inactive
GUAM-3GB-15D,Guam 3GB 15Days,0,Inactive
GUAM-5GB-30D,Guam 5GB 30Days,0,Inactive
GUATEMALA-3GB-15D,Guatemala 3GB 15Days,0,Inactive
GUERNSEY-20GB-30D,Guernsey 20GB 30Days,0,Inactive
GUERNSEY-3GB-15D,Guernsey 3GB 15Days,0,Inactive
GUERNSEY-5GB-30D,Guernsey 5GB 30Days,0,Inactive
GUINEA-20GB-30D,Guinea 20GB 30Days,0,Inactive
GUINEA-3GB-15D,Guinea 3GB 15Days,0,Inactive
GUINEA-5GB-30D,Guinea 5GB 30Days,0,Inactive
GUINEA-BISSAU-20GB-30D,Guinea-Bissau 20GB 30Days,0,Inactive
GUINEA-BISSAU-3GB-15D,Guinea-Bissau 3GB 15Days,0,Inactive
GUINEA-BISSAU-5GB-30D,Guinea-Bissau 5GB 30Days,0,Inactive
GUYANA-20GB-30D,Guyana 20GB 30Days,0,Inactive
GUYANA-3GB-15D,Guyana 3GB 15Days,0,Inactive
GUYANA-5GB-30D,Guyana 5GB 30Days,0,Inactive
HAITI-20GB-30D,Haiti 20GB 30Days,0,Inactive
HAITI-3GB-15D,Haiti 3GB 15Days,0,Inactive
HAITI-5GB-30D,Haiti 5GB 30Days,0,Inactive
HONDURAS-3GB-15D,Honduras 3GB 15Days,0,Inactive
HONG-KONG-20GB-30D,Hong Kong 20GB 30Days,0,Active
HONG-KONG-3GB-15D,Hong Kong 3GB 15Days,0,Active
HONG-KONG-5GB-30D,Hong Kong 5GB 30Days,0,Inactive
HUNGARY-20GB-30D,Hungary 20GB 30Days,0,Inactive
HUNGARY-3GB-15D,Hungary 3GB 15Days,0,Inactive
HUNGARY-5GB-30D,Hungary 5GB 30Days,0,Inactive
ICELAND-20GB-30D,Iceland 20GB 30Days,0,Inactive
ICELAND-3GB-15D,Iceland 3GB 15Days,0,Inactive
ICELAND-5GB-30D,Iceland 5GB 30Days,0,Inactive
INDIA-20GB-30D,India 20GB 30Days,0,Active
INDIA-3GB-15D,India 3GB 15Days,0,Active
INDIA-5GB-30D,India 5GB 30Days,0,Active
INDONESIA-20GB-30D,Indonesia 20GB 30Days,0,Active
INDONESIA-3GB-15D,Indonesia 3GB 15Days,0,Active
INDONESIA-5GB-30D,Indonesia 5GB 30Days,0,Active
IRAQ-20GB-30D,Iraq 20GB 30Days,0,Inactive
IRAQ-3GB-15D,Iraq 3GB 15Days,0,Inactive
IRAQ-5GB-30D,Iraq 5GB 30Days,0,Inactive
IRELAND-20GB-30D,Ireland 20GB 30Days,0,Active
