sku,description,markets_missing,UK,IE,FR,DE,IT,ES,NL,BE,SE,PL
TRINIDAD-AND-TOBAGO-3GB-15D,Trinidad and Tobago 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
TRINIDAD-AND-TOBAGO-5GB-30D,Trinidad and Tobago 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
TUNISIA-5GB-30D,Tunisia 5GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
TURKEY-20GB-30D,Turkey 20GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
TURKEY-3GB-15D,Turkey 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
TURKEY-5GB-30D,Turkey 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
TURKS-AND-CAICOS-ISLANDS-20GB-30D,Turks and Caicos Islands 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
TURKS-AND-CAICOS-ISLANDS-3GB-15D,Turks and Caicos Islands 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
TURKS-AND-CAICOS-ISLANDS-5GB-30D,Turks and Caicos Islands 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
UGANDA-3GB-15D,Uganda 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
UKRAINE-3GB-15D,Ukraine 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
UKRAINE-5GB-30D,Ukraine 5GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
UNITED-ARAB-EMIRATES-20GB-30D,United Arab Emirates 20GB 30Days,3,Inactive,Active,Active,Active,Active,Active,MISSING,Active,MISSING,MISSING
UNITED-ARAB-EMIRATES-3GB-15D,United Arab Emirates 3GB 15Days,2,Inactive,Active,Active,Active,Active,Active,Active,Active,MISSING,MISSING
UNITED-ARAB-EMIRATES-5GB-30D,United Arab Emirates 5GB 30Days,3,Inactive,Active,Active,Active,Active,Active,MISSING,Active,MISSING,MISSING
UNITED-KINGDOM-20GB-30D,United Kingdom 20GB 30Days,4,Inactive,Active,Active,Active,Active,Active,MISSING,MISSING,MISSING,MISSING
UNITED-KINGDOM-3GB-15D,United Kingdom 3GB 15Days,3,Inactive,Active,Active,Active,Active,Active,Active,MISSING,MISSING,MISSING
UNITED-KINGDOM-5GB-30D,United Kingdom 5GB 30Days,3,Inactive,Active,Active,Active,Active,Active,Active,MISSING,MISSING,MISSING
UNITED-STATES-3GB-15D,United States 3GB 15Days,3,Inactive,Active,Active,Active,Active,Active,Active,MISSING,MISSING,MISSING
UNITED-STATES-5GB-30D,United States 5GB 30Days,3,Inactive,Active,Active,Active,Active,Active,Active,MISSING,MISSING,MISSING
URUGUAY-3GB-15D,Uruguay 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
UZBEKISTAN-5GB-30D,Uzbekistan 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
VATICAN-CITY-20GB-30D,Vatican City 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
VATICAN-CITY-3GB-15D,Vatican City 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
VATICAN-CITY-5GB-30D,Vatican City 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
VIETNAM-20GB-30D,Vietnam 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
VIETNAM-3GB-15D,Vietnam 3GB 15Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
VIETNAM-5GB-30D,Vietnam 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ZAMBIA-3GB-15D,Zambia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ZAMBIA-5GB-30D,Zambia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
