sku,description,markets_missing,UK,IE,FR,DE,IT,ES,NL,BE,SE,PL
BRUNEI-DARUSSALAM-20GB-30D,Brunei Darussalam 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
BRUNEI-DARUSSALAM-3GB-15D,Brunei Darussalam 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
BULGARIA-3GB-15D,Bulgaria 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
BURKINA-FASO-3GB-15D,Burkina Faso 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
BURKINA-FASO-5GB-30D,Burkina Faso 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
CAMBODIA-20GB-30D,Cambodia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
CAMBODIA-3GB-15D,Cambodia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
CAMEROON-3GB-15D,Cameroon 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
CANADA-PREMIUM-20GB-30D,Canada 20GB 30Days Premium,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
CANADA-PREMIUM-3GB-15D,Canada 3GB 15Days Premium,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
CANADA-PREMIUM-5GB-30D,Canada 5GB 30Days Premium,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
CAPE-VERDE-20GB-30D,Cape Verde 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
CAPE-VERDE-3GB-15D,Cape Verde 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
CAPE-VERDE-5GB-30D,Cape Verde 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
CAYMAN-ISLANDS-20GB-30D,Cayman Islands 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
CAYMAN-ISLANDS-3GB-15D,Cayman Islands 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
CAYMAN-ISLANDS-5GB-30D,Cayman Islands 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
CENTRAL-AFRICAN-REPUBLIC-3GB-15D,Central African Republic 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
CENTRAL-AFRICAN-REPUBLIC-5GB-30D,Central African Republic 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
CHAD-3GB-15D,Chad 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
CHAD-5GB-30D,Chad 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
CHILE-3GB-15D,Chile 3GB 15Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
CHINA-20GB-30D,China 20GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
CHINA-3GB-15D,China 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
CHINA-5GB-30D,China 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
COLOMBIA-3GB-15D,Colombia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
COSTA-RICA-3GB-15D,Costa Rica 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
COTE-D-IVOIRE-3GB-15D,Cote d'Ivoire 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
COTE-D-IVOIRE-5GB-30D,Cote d'Ivoire 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
CROATIA-20GB-30D,Croatia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
CROATIA-3GB-15D,Croatia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
CROATIA-5GB-30D,Croatia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
CURACAO-20GB-30D,Curacao 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
CURACAO-3GB-15D,Curacao 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
CURACAO-5GB-30D,Curacao 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
CYPRUS-3GB-15D,Cyprus 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
CYPRUS-5GB-30D,Cyprus 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
CZECH-REPUBLIC-20GB-30D,Czech Republic 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
CZECH-REPUBLIC-3GB-15D,Czech Republic 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
CZECH-REPUBLIC-5GB-30D,Czech Republic 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
