sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote	afn-fc-transfer-quantity	afn-onhand-buyable-quantity	store
AALAND-ISLANDS-20GB-30D	B0FR39Q1KJ	B0FR39Q1KJ	Aaland Islands eSIM 20GB 30Days	New	33.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
AALAND-ISLANDS-3GB-15D	B0FR3CCSMB	B0FR3CCSMB	Islas Aaland eSIM 3GB 15Days	New	9.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
AALAND-ISLANDS-5GB-30D	B0FR3G6JWB	B0FR3G6JWB	Islas Aaland eSIM 5GB 30Days	New	13.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
AE_20_30	B0FRB7TFJR	B0FRB7TFJR	Emiratos Árabes Unidos eSIM 20GB 30Days	New	42.48	No		Yes	0	0	0	0	20	96.03	0	20	0	0	0	5	0	0	0	0	
AE_3_15	B0FRBBYBGH	B0FRBBYBGH	Emiratos Árabes Unidos eSIM 3GB 15Days	New	10.96	No		Yes	0	0	0	0	20	96.03	0	20	0	0	0	5	0	0	0	0	
AE_5_30	B0FRB89XHX	B0FRB89XHX	Emiratos Árabes Unidos eSIM 5GB 30Days	New	16.29	No		Yes	0	0	0	0	20	96.03	0	20	0	0	0	5	0	0	0	0	
AFRICA-5GB-30D	B0FR3GK9Z7	B0FR3GK9Z7	África eSIM 5GB 30Days	New	29.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
ALBANIA-5GB-30D	B0FR4ZG3Z6	B0FR4ZG3Z6	Albania eSIM 5GB 30Days	New	10.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	5	0	0	0	0	0	
ALGERIA-20GB-30D	B0H6M5TDMD	B0H6M5TDMD	Argelia eSIM 20GB 30Days	New	26.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ALGERIA-3GB-15D	B0H6M9R3WH	B0H6M9R3WH	Argelia eSIM 3GB 15Days	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ALGERIA-5GB-30D	B0H6MDYKG8	B0H6MDYKG8	Argelia eSIM 5GB 30Days	New	11.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANDORRA-20GB-30D	B0H6MJ97WC	B0H6MJ97WC	Andorra eSIM 20GB 30Days	New	44.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANDORRA-3GB-15D	B0H6MBPRYN	B0H6MBPRYN	Andorra eSIM 3GB 15Days	New	15.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANDORRA-5GB-30D	B0H6M5P65S	B0H6M5P65S	Andorra eSIM 5GB 30Days	New	16.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANGOLA-3GB-15D	B0H6M5RWZH	B0H6M5RWZH	Angola eSIM 3GB 15Days	New	35.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANGOLA-5GB-30D	B0H6MKZSB4	B0H6MKZSB4	Angola eSIM 5GB 30Days	New	58.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANGUILLA-20GB-30D	B0H6MHMZY8	B0H6MHMZY8	Anguila eSIM 20GB 30Days	New	87.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANGUILLA-3GB-15D	B0H6M7X7QY	B0H6M7X7QY	Anguila eSIM 3GB 15Days	New	24.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANGUILLA-5GB-30D	B0H6MFJ63H	B0H6MFJ63H	Anguila eSIM 5GB 30Days	New	32.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANTIGUA-AND-BARBUDA-20GB-30D	B0H6M2MQJB	B0H6M2MQJB	Antigua y Barbuda eSIM 20GB 30Days	New	99.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANTIGUA-AND-BARBUDA-3GB-15D	B0H6MBBFLQ	B0H6MBBFLQ	Antigua y Barbuda eSIM 3GB 15Days	New	26.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ANTIGUA-AND-BARBUDA-5GB-30D	B0H6MCR5F9	B0H6MCR5F9	Antigua y Barbuda eSIM 5GB 30Days	New	35.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ARGENTINA-20GB-30D	B0FR5DCH33	B0FR5DCH33	Argentina eSIM 20GB 30Days	New	37.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	4	1	0	0	0	0	
ARGENTINA-3GB-15D	B0FR554SXN	B0FR554SXN	Argentina eSIM 3GB 15Days	New	12.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	1	4	0	0	0	0	
ARMENIA-20GB-30D	B0FR4ZT5XT	B0FR4ZT5XT	Armenia eSIM 20GB 30Days	New	31.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	0	5	0	0	0	0	
ARMENIA-3GB-15D	B0FR5BK9R4	B0FR5BK9R4	Armenia eSIM 3GB 15Days	New	9.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	0	5	0	0	0	0	
ASIA-20-3GB-15D	B0FR9FZ4RF	B0FR9FZ4RF	Asia-20 eSIM 3GB 15Days	New	12.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	5	0	0	0	0	0	
ASIA-20-5GB-30D	B0FR9BQNSV	B0FR9BQNSV	Asia-20 eSIM 5GB 30Days	New	13.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	5	0	0	0	0	0	
AUSTRALIA-20GB-30D	B0FR9G1ZQJ	B0FR9G1ZQJ	Australia eSIM 20GB 30Days	New	15.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	4	1	0	0	0	0	
AUSTRALIA-3GB-15D	B0FR9SKY4D	B0FR9SKY4D	Australia eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
AUSTRALIA-5GB-30D	B0FR9JRB62	B0FR9JRB62	Australia eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
AUSTRIA-20GB-30D	B0FR8XBSBP	B0FR8XBSBP	Austria eSIM 20GB 30Days	New	15.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	0	5	0	0	0	0	
AUSTRIA-3GB-15D	B0FR9QSMSP	B0FR9QSMSP	Austria eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	0	5	0	0	0	0	
AUSTRIA-5GB-30D	B0FR8XCH78	B0FR8XCH78	Austria eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	0	5	0	0	0	0	
AU_20_30	B0FR9G1ZQJ	B0FR9G1ZQJ	Australia eSIM 20GB 30Days	New	15.60	No		Yes	0	0	0	0	30	96.03	5	25	0	0	4	1	0	0	0	0	
AU_3_15	B0FR9SKY4D	B0FR9SKY4D	Australia eSIM 3GB 15Days	New	6.90	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
AU_5_30	B0FR9JRB62	B0FR9JRB62	Australia eSIM 5GB 30Days	New	8.64	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
AZERBAIJAN-3GB-15D	B0FR9BTC98	B0FR9BTC98	Azerbaiyán eSIM 3GB 15Days	New	12.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	2	3	0	0	0	0	
BAHAMAS-20GB-30D	B0H6MCPR9P	B0H6MCPR9P	Bahamas eSIM 20GB 30Days	New	121.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
BAHAMAS-3GB-15D	B0H6MB828R	B0H6MB828R	Bahamas eSIM 3GB 15Days	New	32.99	No		Yes	0	0	0	0	24	96.03	0	24	0	0	0	9	0	0	0	0	
BAHAMAS-5GB-30D	B0H6MFGH8P	B0H6MFGH8P	Bahamas eSIM 5GB 30Days	New	43.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
BAHRAIN-3GB-15D	B0FR9K64KF	B0FR9K64KF	Bahrein eSIM 3GB 15Days	New	10.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	1	4	0	0	0	0	
BANGLADESH-20GB-30D	B0FR8FJ3HJ	B0FR8FJ3HJ	Bangladesh eSIM 20GB 30Days	New	23.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
BANGLADESH-3GB-15D	B0FR9L7SG3	B0FR9L7SG3	Bangladesh eSIM 3GB 15Days	New	9.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
BANGLADESH-5GB-30D	B0FR9BQFCM	B0FR9BQFCM	Bangladesh eSIM 5GB 30Days	New	10.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
BARBADOS-20GB-30D	B0H6MJ921X	B0H6MJ921X	Barbados eSIM 20GB 30Days	New	85.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
BARBADOS-3GB-15D	B0H6MCD72X	B0H6MCD72X	Barbados eSIM 3GB 15Days	New	23.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
BARBADOS-5GB-30D	B0H6MG6VYJ	B0H6MG6VYJ	Barbados eSIM 5GB 30Days	New	31.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
BELARUS-3GB-15D	B0FR9G3Z82	B0FR9G3Z82	Bielorrusia eSIM 3GB 15Days	New	9.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
BELARUS-5GB-30D	B0FR8FFT4D	B0FR8FFT4D	Bielorrusia eSIM 5GB 30Days	New	11.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
BELGIUM-20GB-30D	B0FR9BVRCH	B0FR9BVRCH	Bélgica eSIM 20GB 30Days	New	15.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
BELGIUM-3GB-15D	B0FR9G432K	B0FR9G432K	Bélgica eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
BELGIUM-5GB-30D	B0FR9SXCW6	B0FR9SXCW6	Bélgica eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	0	0	0	0	
BELIZE-20GB-30D	B0H6MBSQM8	B0H6MBSQM8	Belice eSIM 20GB 30Days	New	145.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
BELIZE-3GB-15D	B0H6MFPNTX	B0H6MFPNTX	Belice eSIM 3GB 15Days	New	32.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
