item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	status
Bahrain eSIM 3GB 15Days	Bahrain eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUWJ33A	BAHRAIN-3GB-15D	45.99		2026-06-30 23:42:48 CEST		y	4			11				B0FR9K64KF						8721438400591				AMAZON_EU	Inactive
Bangladesh eSIM 3GB 15Days	Bangladesh eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV5T56A	BANGLADESH-3GB-15D	40.99		2026-06-30 23:46:40 CEST		y	4			11				B0FR9L7SG3						8721438400669				AMAZON_EU	Inactive
Barbados eSIM 3GB 15Days	Barbados eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTJOKHF	BARBADOS-3GB-15D	100.99		2026-06-30 14:54:26 CEST		y	4			11				B0H6MCD72X						8721438408603				AMAZON_EU	Inactive
Belarus eSIM 3GB 15Days	Belarus eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUWOS21	BELARUS-3GB-15D	40.99		2026-06-30 23:55:55 CEST		y	4			11				B0FR9G3Z82						8721438400706				AMAZON_EU	Inactive
Bhutan eSIM 3GB 15Days	Bhutan eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTUN7Y1	BHUTAN-3GB-15D	75.99		2026-06-30 15:35:48 CEST		y	4			11				B0H6MJB588						8721438408726				AMAZON_EU	Inactive
Bolivia eSIM 20GB 30Days	Bolivia eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HV09ULY	BOLIVIA-20GB-30D	386.99		2026-07-01 00:16:44 CEST		y	4			11				B0FR9RH588						8721438400829				AMAZON_EU	Inactive
Bolivia eSIM 3GB 15Days	Bolivia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUZIA9V	BOLIVIA-3GB-15D	105.99		2026-07-01 00:13:58 CEST		y	4			11				B0FR8FKPKH						8721438400812				AMAZON_EU	Inactive
Brazil eSIM 20GB 30Days	Brazil eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HVB2Y3P	BRAZIL-20GB-30D	145.99		2026-07-01 00:30:03 CEST		y	4			11				B0FR9KLZCR						8721438400935				AMAZON_EU	Inactive
Brazil eSIM 3GB 15Days	Brazil eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV5055I	BRAZIL-3GB-15D	45.99		2026-07-01 00:27:17 CEST		y	4			11				B0FR9G5LKV						8721438400898				AMAZON_EU	Inactive
Brunei Darussalam eSIM 20GB 30Days	Brunei Darussalam eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUX1WO7	BRUNEI-DARUSSALAM-20GB-30D	285.99		2026-07-01 00:35:49 CEST		y	4			11				B0FR9F971C						8721438400997				AMAZON_EU	Inactive
Brunei Darussalam eSIM 3GB 15Days	Brunei Darussalam eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV8S363	BRUNEI-DARUSSALAM-3GB-15D	60.99		2026-07-01 00:33:23 CEST		y	4			11				B0FR9KTJND						8721438400980				AMAZON_EU	Inactive
Cambodia eSIM 20GB 30Days	Cambodia eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HV6WNLC	CAMBODIA-20GB-30D	115.99		2026-07-01 01:25:46 CEST		y	4			11				B0FR9GFJPL						8721438401710				AMAZON_EU	Inactive
Cambodia eSIM 3GB 15Days	Cambodia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV0Q635	CAMBODIA-3GB-15D	40.99		2026-07-01 01:22:29 CEST		y	4			11				B0FR8XKMJ4						8721438401697				AMAZON_EU	Inactive
Cameroon eSIM 3GB 15Days	Cameroon eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV0J6RM	CAMEROON-3GB-15D	90.99		2026-07-01 00:46:06 CEST		y	4			11				B0FR9VJ1ZB						8721438401116				AMAZON_EU	Inactive
Canada eSIM 3GB 15Days Premium	Canada eSIM 3GB 15Days Premium - high speed internet - mobile data 5G compatible	0630HUTI0CE	CANADA-PREMIUM-3GB-15D	45.99		2026-06-30 22:28:52 CEST		y	4			11				B0H6MJ1HMJ						8721438410583				AMAZON_EU	Inactive
Cape Verde eSIM 20GB 30Days	Cape Verde eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTVWVN8	CAPE-VERDE-20GB-30D	702.99		2026-06-30 15:53:31 CEST		y	4			11				B0H6M9VSPG						8721438408771				AMAZON_EU	Inactive
Cape Verde eSIM 3GB 15Days	Cape Verde eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTTDMQQ	CAPE-VERDE-3GB-15D	140.99		2026-06-30 15:46:36 CEST		y	4			11				B0H6M9R16H						8721438408757				AMAZON_EU	Inactive
Cape Verde eSIM 5GB 30Days	Cape Verde eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HU0OIUA	CAPE-VERDE-5GB-30D	235.99		2026-06-30 15:49:54 CEST		y	4			11				B0H6MFG453						8721438408764				AMAZON_EU	Inactive
Kanada eSIM 20 GB 30 dni | Pay As You Go Data SIM | Łatwa konfiguracja | Podróżna karta SIM dla turystów i biznesu | Prędkości 3G/4G		0327H1MNNU7	CA_20_30	130.17		2026-03-27 15:26:06 CET		y	1			11				B0FR9BY42D						B0FR9BY42D				AMAZON_EU	Inactive
