item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	status
Cyprus eSIM 3GB 15Days	Cyprus eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV72BWV	CYPRUS-ESIM		0	2026-07-01 01:48:05 CEST		y	1			11				B0H73BTQRC						B0H73BTQRC			0	DEFAULT	Incomplete
Czech Republic eSIM 3GB 15Days	Czech Republic eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV0WY4S	CZECH-REPUBLIC-ESIM		0	2026-07-01 01:55:03 CEST		y	1			11				B0H73D8KBD						B0H73D8KBD			0	DEFAULT	Incomplete
Democratic Republic of the Congo eSIM 3GB 15Days	Democratic Republic of the Congo eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTYC9OC	DEMOCRATIC-REPUBLIC-OF-THE-CONGO-ESIM		0	2026-06-30 16:16:12 CEST		y	1			11				B0H72CNW7P						B0H72CNW7P			0	DEFAULT	Incomplete
Denmark eSIM 3GB 15Days	Denmark eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVBJ7RN	DENMARK-ESIM		0	2026-07-01 02:04:47 CEST		y	1			11				B0H73W23WG						B0H73W23WG			0	DEFAULT	Incomplete
Dominica eSIM 20GB 30Days	Dominica eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HU29MYG	DOMINICA-ESIM		0	2026-06-30 16:26:54 CEST		y	1			11				B0H72KCDJM						B0H72KCDJM			0	DEFAULT	Incomplete
Dominican Republic eSIM 3GB 15Days	Dominican Republic eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HV13WBP	DOMINICAN-REPUBLIC-ESIM		0	2026-07-01 02:14:31 CEST		y	1			11				B0H732PZ4S						B0H732PZ4S			0	DEFAULT	Incomplete
Democratic Republic of the Congo eSIM 20GB 30Days	Democratic Republic of the Congo eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HU1P0TF	DR-CONGO-ESIM		0	2026-06-30 16:23:22 CEST		y	1			11				B0H725TCKX						B0H725TCKX			0	DEFAULT	Incomplete
Ecuador eSIM 3GB 15Days	Ecuador eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HV8FC29	ECUADOR-ESIM		0	2026-07-01 02:23:22 CEST		y	1			11				B0H73F13Y3						B0H73F13Y3			0	DEFAULT	Incomplete
Egypt eSIM 5GB 30Days	Egypt eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0701HVCEBUK	EGYPT-ESIM		0	2026-07-01 02:27:37 CEST		y	1			11				B0H73Q18MW						B0H73Q18MW			0	DEFAULT	Incomplete
El Salvador eSIM 3GB 15Days	El Salvador eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HV15D29	EL-SALVADOR-ESIM		0	2026-07-01 02:37:03 CEST		y	1			11				B0H72VL45F						B0H72VL45F			0	DEFAULT	Incomplete
Estonia eSIM 3GB 15Days	Estonia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVG9KV2	ESTONIA-ESIM		0	2026-07-01 02:40:55 CEST		y	1			11				B0H73K4414						B0H73K4414			0	DEFAULT	Incomplete
Europe(40+ areas) eSIM 5GB 30Days	Europe(40+ areas) eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0701HVCK7MX	EUROPE-40-AREAS-ESIM		0	2026-07-01 02:49:27 CEST		y	1			11				B0H73869YJ						B0H73869YJ			0	DEFAULT	Incomplete
Faroe Islands eSIM 3GB 15Days	Faroe Islands eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HU2WNZY	FAROE-ISLANDS-ESIM		0	2026-06-30 16:36:40 CEST		y	1			11				B0H72DS2KM						B0H72DS2KM			0	DEFAULT	Incomplete
Fiji eSIM 5GB 30Days	Fiji eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HU3L8BB	FIJI-ESIM		0	2026-06-30 16:46:17 CEST		y	1			11				B0H727MK49						B0H727MK49			0	DEFAULT	Incomplete
