sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote	afn-fc-transfer-quantity	afn-onhand-buyable-quantity	store
SRI-LANKA-5GB-30D	B0FRB64B8M	B0FRB64B8M	Sri Lanka eSIM 5 Go 30 Jours	New	12.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	2	3	0	0	0	0	
SUDAN-3GB-15D	B0FRCKTXNQ	B0FRCKTXNQ	Soudan eSIM 3 Go 15 Jours	New	22.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	0	0	0	0	
SUDAN-5GB-30D	B0FRC799N3	B0FRC799N3	Soudan eSIM 5 Go 30 Jours	New	30.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	0	0	0	0	
SURINAME-20GB-30D	B0H6MNKY5H	B0H6MNKY5H	Suriname eSIM 20 Go 30 Jours	New	74.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SURINAME-3GB-15D	B0H6MLWJMY	B0H6MLWJMY	Suriname eSIM 3 Go 15 Jours	New	19.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SURINAME-5GB-30D	B0H6MNS3N5	B0H6MNS3N5	Suriname eSIM 5 Go 30 Jours	New	32.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SVG-20GB-30D	B0H6MWF5B5	B0H6MWF5B5	Saint-Vincent-et-Les Grenadines eSIM 20 Go 30 Jours	New	125.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SWEDEN-20GB-30D	B0FRB7X5SP	B0FRB7X5SP	Suède eSIM 20 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	100	169.44	0	100	0	0	20	0	0	0	0	0	
SWEDEN-3GB-15D	B0FRCC6W9S	B0FRCC6W9S	Suède eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	100	169.44	0	100	0	0	3	17	0	0	0	0	
SWEDEN-5GB-30D	B0FRCS524D	B0FRCS524D	Suède eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	100	169.44	0	100	0	0	20	0	0	0	0	0	
SWITZERLAND-20GB-30D	B0FRB6VY7S	B0FRB6VY7S	Suisse eSIM 20 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
SWITZERLAND-3GB-15D	B0FRB5LFVC	B0FRB5LFVC	Suisse eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	6	14	0	0	0	0	
SWITZERLAND-5GB-30D	B0FRB7G4VW	B0FRB7G4VW	Suisse eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	8	12	0	0	0	0	
TAJIKISTAN-20GB-30D	B0H6M85C77	B0H6M85C77	Tadjikistan eSIM 20 Go 30 Jours	New	41.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TAJIKISTAN-3GB-15D	B0H6M7XFN6	B0H6M7XFN6	Tadjikistan eSIM 3 Go 15 Jours	New	15.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TAJIKISTAN-5GB-30D	B0H6MFYMXZ	B0H6MFYMXZ	Tadjikistan eSIM 5 Go 30 Jours	New	16.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	2	3	0	0	0	0	
TANZANIA-3GB-15D	B0FRC81NPJ	B0FRC81NPJ	Tanzanie eSIM 3 Go 15 Jours	New	16.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	4	1	0	0	0	0	
THAILAND-20GB-30D	B0FRCHW3MW	B0FRCHW3MW	Thaïlande eSIM 20 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
THAILAND-3GB-15D	B0FRCDPJSH	B0FRCDPJSH	Thaïlande eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
THAILAND-5GB-30D	B0FR9Q5D1J	B0FR9Q5D1J	Thaïlande eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
