sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	store
MOZAMBIQUE-20GB-30D	B0FR9CFLS7	B0FR9CFLS7	Mozambique eSIM 20GB 30Days	New	75.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	
MOZAMBIQUE-3GB-15D	B0FRB1M6HK	B0FRB1M6HK	Mozambique eSIM 3GB 15Days	New	19.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	
MY_20_30	B0FR9VMWYD	B0FR9VMWYD	Malaysia eSIM 20GB 30Days	New	16.80	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
MY_3_15	B0FR9H1Q65	B0FR9H1Q65	Malaysia eSIM 3GB 15Days	New	6.24	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
MY_5_30	B0FR9LDGX8	B0FR9LDGX8	Malaysia eSIM 5GB 30Days	New	8.57	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
NEPAL-3GB-15D	B0FRB1TD7L	B0FRB1TD7L	Nepal eSIM 3GB 15Days	New	14.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	2	3	
NETHERLANDS-20GB-30D	B0FR9NG7LB	B0FR9NG7LB	Netherlands eSIM 20GB 30Days	New	16.99	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
NETHERLANDS-3GB-15D	B0FRB5GNM2	B0FRB5GNM2	Netherlands eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
NETHERLANDS-5GB-30D	B0FR9NHP7Q	B0FR9NHP7Q	Netherlands eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
NEW-ZEALAND-20GB-30D	B0FRB1TWT8	B0FRB1TWT8	New Zealand eSIM 20GB 30Days	New	24.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	1	4	
NEW-ZEALAND-3GB-15D	B0FR9NKXF5	B0FR9NKXF5	New Zealand eSIM 3GB 15Days	New	9.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	2	3	
NEW-ZEALAND-5GB-30D	B0FR9NHFWQ	B0FR9NHFWQ	New Zealand eSIM 5GB 30Days	New	11.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	
NICARAGUA-3GB-15D	B0FRB33MPG	B0FRB33MPG	Nicaragua eSIM 3GB 15Days	New	14.99	No		Yes	0	0	0	0	30	96.03	5	25	0	0	0	5	
NIGER-3GB-15D	B0FR9NPT1H	B0FR9NPT1H	Niger eSIM 3GB 15Days	New	17.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	0	5	
NIGERIA-3GB-15D	B0FR9X17QY	B0FR9X17QY	Nigeria eSIM 3GB 15Days	New	14.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	
NL_20_30	B0FR9NG7LB	B0FR9NG7LB	Netherlands eSIM 20GB 30Days	New	20.39	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
NL_3_15	B0FRB5GNM2	B0FRB5GNM2	Netherlands eSIM 3GB 15Days	New	6.25	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
NL_5_30	B0FR9NHP7Q	B0FR9NHP7Q	Netherlands eSIM 5GB 30Days	New	5.65	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
NORTH-AMERICA-5GB-30D	B0FRBDQ8H5	B0FRBDQ8H5	North America eSIM 5GB 30Days	New	16.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	4	1	
NORTH-MACEDONIA-3GB-15D	B0FRB59DJS	B0FRB59DJS	North Macedonia eSIM 3GB 15Days	New	9.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	2	3	
NORTH-MACEDONIA-5GB-30D	B0FR9WNHHX	B0FR9WNHHX	North Macedonia eSIM 5GB 30Days	New	14.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	
NORWAY-20GB-30D	B0FRB572L8	B0FRB572L8	Norway eSIM 20GB 30Days	New	15.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	5	0	
NORWAY-3GB-15D	B0FR9WNK2H	B0FR9WNK2H	Norway eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	
NORWAY-5GB-30D	B0FRBNPZ9D	B0FRBNPZ9D	Norway eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
OMAN-20GB-30D	B0FRB4R3FK	B0FRB4R3FK	Oman eSIM 20GB 30Days	New	32.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
OMAN-3GB-15D	B0FRB4BL4W	B0FRB4BL4W	Oman eSIM 3GB 15Days	New	11.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
PAKISTAN-20GB-30D	B0FRB691X8	B0FRB691X8	Pakistan eSIM 20GB 30Days	New	22.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	
PAKISTAN-3GB-15D	B0FRB4HL3B	B0FRB4HL3B	Pakistan eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
PAKISTAN-5GB-30D	B0FRB48QKZ	B0FRB48QKZ	Pakistan eSIM 5GB 30Days	New	10.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
PANAMA-3GB-15D	B0FRB3VFW6	B0FRB3VFW6	Panama eSIM 3GB 15Days	New	17.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	2	3	
PARAGUAY-3GB-15D	B0FRB3V7CS	B0FRB3V7CS	Paraguay eSIM 3GB 15Days	New	14.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
PERU-20GB-30D	B0H6M8BLBD	B0H6M8BLBD	Peru eSIM 20GB 30Days	New	42.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	3	2	
PERU-3GB-15D	B0H6M5WW3B	B0H6M5WW3B	Peru eSIM 3GB 15Days	New	14.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	3	2	
PHILIPPINES-20GB-30D	B0FRB4K2D4	B0FRB4K2D4	Philippines eSIM 20GB 30Days	New	23.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	4	1	
